characteristic, value, user_id, study_name, 
religionid,1,345687,alexandersanchez.exemplars1,
education,12,345687,alexandersanchez.exemplars1,
birthyear,1965,345687,alexandersanchez.exemplars1,
genoccupation,2931,345687,alexandersanchez.exemplars1,
birthmonth,3,345687,alexandersanchez.exemplars1,
politicalid,3,345687,alexandersanchez.exemplars1,
occupation,31-9000,345687,alexandersanchez.exemplars1,
raceethnic,asian,345687,alexandersanchez.exemplars1,
state,ca,345687,alexandersanchez.exemplars1,
religion,catholic,345687,alexandersanchez.exemplars1,
gender,f,345687,alexandersanchez.exemplars1,
relfamily,romancatholic,345687,alexandersanchez.exemplars1,
residence,sm,345687,alexandersanchez.exemplars1,
citizenship,us,345687,alexandersanchez.exemplars1,
education,12,750927,alexandersanchez.exemplars1,
birthyear,1953,750927,alexandersanchez.exemplars1,
genoccupation,25-,750927,alexandersanchez.exemplars1,
politicalid,3,750927,alexandersanchez.exemplars1,
religionid,3,750927,alexandersanchez.exemplars1,
birthmonth,6,750927,alexandersanchez.exemplars1,
gender,f,750927,alexandersanchez.exemplars1,
relfamily,methodist,750927,alexandersanchez.exemplars1,
occupation,null,750927,alexandersanchez.exemplars1,
reldenom,null,750927,alexandersanchez.exemplars1,
religion,protestant,750927,alexandersanchez.exemplars1,
state,sd,750927,alexandersanchez.exemplars1,
citizenship,us,750927,alexandersanchez.exemplars1,
residence,us,750927,alexandersanchez.exemplars1,
raceethnic,white,750927,alexandersanchez.exemplars1,
birthyear,1970,10075819,alexandersanchez.exemplars1,
genoccupation,2931,10075819,alexandersanchez.exemplars1,
religionid,3,10075819,alexandersanchez.exemplars1,
birthmonth,5,10075819,alexandersanchez.exemplars1,
education,9,10075819,alexandersanchez.exemplars1,
religion,catholic,10075819,alexandersanchez.exemplars1,
gender,f,10075819,alexandersanchez.exemplars1,
state,mn,10075819,alexandersanchez.exemplars1,
occupation,null,10075819,alexandersanchez.exemplars1,
politicalid,null,10075819,alexandersanchez.exemplars1,
relfamily,romancatholic,10075819,alexandersanchez.exemplars1,
citizenship,us,10075819,alexandersanchez.exemplars1,
residence,us,10075819,alexandersanchez.exemplars1,
raceethnic,white,10075819,alexandersanchez.exemplars1,
birthmonth,1,10260647,alexandersanchez.exemplars1,
religionid,1,10260647,alexandersanchez.exemplars1,
birthyear,1995,10260647,alexandersanchez.exemplars1,
genoccupation,21-,10260647,alexandersanchez.exemplars1,
occupation,21-1000,10260647,alexandersanchez.exemplars1,
politicalid,3,10260647,alexandersanchez.exemplars1,
education,9,10260647,alexandersanchez.exemplars1,
relfamily,agnostic,10260647,alexandersanchez.exemplars1,
citizenship,au,10260647,alexandersanchez.exemplars1,
residence,au,10260647,alexandersanchez.exemplars1,
gender,f,10260647,alexandersanchez.exemplars1,
religion,none,10260647,alexandersanchez.exemplars1,
raceethnic,white,10260647,alexandersanchez.exemplars1,
politicalid,0,10586529,alexandersanchez.exemplars1,
birthyear,1941,10586529,alexandersanchez.exemplars1,
religionid,3,10586529,alexandersanchez.exemplars1,
birthmonth,6,10586529,alexandersanchez.exemplars1,
education,9,10586529,alexandersanchez.exemplars1,
gender,m,10586529,alexandersanchez.exemplars1,
state,nh,10586529,alexandersanchez.exemplars1,
genoccupation,null,10586529,alexandersanchez.exemplars1,
religion,otherrelig,10586529,alexandersanchez.exemplars1,
residence,sm,10586529,alexandersanchez.exemplars1,
relfamily,unitarian,10586529,alexandersanchez.exemplars1,
citizenship,us,10586529,alexandersanchez.exemplars1,
raceethnic,white,10586529,alexandersanchez.exemplars1,
birthyear,1992,10635203,alexandersanchez.exemplars1,
religionid,2,10635203,alexandersanchez.exemplars1,
genoccupation,23-,10635203,alexandersanchez.exemplars1,
occupation,23-1000,10635203,alexandersanchez.exemplars1,
birthmonth,3,10635203,alexandersanchez.exemplars1,
politicalid,3,10635203,alexandersanchez.exemplars1,
education,8,10635203,alexandersanchez.exemplars1,
gender,f,10635203,alexandersanchez.exemplars1,
state,ga,10635203,alexandersanchez.exemplars1,
religion,jewish,10635203,alexandersanchez.exemplars1,
relfamily,reform,10635203,alexandersanchez.exemplars1,
citizenship,us,10635203,alexandersanchez.exemplars1,
residence,us,10635203,alexandersanchez.exemplars1,
raceethnic,white,10635203,alexandersanchez.exemplars1,
religionid,1,11200873,alexandersanchez.exemplars1,
birthmonth,11,11200873,alexandersanchez.exemplars1,
birthyear,1981,11200873,alexandersanchez.exemplars1,
genoccupation,21-,11200873,alexandersanchez.exemplars1,
occupation,21-1000,11200873,alexandersanchez.exemplars1,
education,7,11200873,alexandersanchez.exemplars1,
gender,m,11200873,alexandersanchez.exemplars1,
religion,none,11200873,alexandersanchez.exemplars1,
politicalid,null,11200873,alexandersanchez.exemplars1,
relfamily,null,11200873,alexandersanchez.exemplars1,
state,null,11200873,alexandersanchez.exemplars1,
citizenship,us,11200873,alexandersanchez.exemplars1,
residence,us,11200873,alexandersanchez.exemplars1,
raceethnic,white,11200873,alexandersanchez.exemplars1,
politicalid,0,11216142,alexandersanchez.exemplars1,
education,13,11216142,alexandersanchez.exemplars1,
birthyear,1970,11216142,alexandersanchez.exemplars1,
birthmonth,2,11216142,alexandersanchez.exemplars1,
genoccupation,25-,11216142,alexandersanchez.exemplars1,
occupation,25-3000,11216142,alexandersanchez.exemplars1,
religionid,4,11216142,alexandersanchez.exemplars1,
raceethnic,black,11216142,alexandersanchez.exemplars1,
gender,f,11216142,alexandersanchez.exemplars1,
relfamily,methodist,11216142,alexandersanchez.exemplars1,
state,nc,11216142,alexandersanchez.exemplars1,
reldenom,otherwesleyan,11216142,alexandersanchez.exemplars1,
religion,protestant,11216142,alexandersanchez.exemplars1,
citizenship,us,11216142,alexandersanchez.exemplars1,
residence,us,11216142,alexandersanchez.exemplars1,
occupation,1,11242868,alexandersanchez.exemplars1,
genoccupation,11-,11242868,alexandersanchez.exemplars1,
birthyear,1994,11242868,alexandersanchez.exemplars1,
politicalid,2,11242868,alexandersanchez.exemplars1,
education,7,11242868,alexandersanchez.exemplars1,
birthmonth,8,11242868,alexandersanchez.exemplars1,
citizenship,br,11242868,alexandersanchez.exemplars1,
residence,br,11242868,alexandersanchez.exemplars1,
gender,m,11242868,alexandersanchez.exemplars1,
religion,null,11242868,alexandersanchez.exemplars1,
religionid,null,11242868,alexandersanchez.exemplars1,
raceethnic,white,11242868,alexandersanchez.exemplars1,
politicalid,-2,11367880,alexandersanchez.exemplars1,
genoccupation,11-,11367880,alexandersanchez.exemplars1,
occupation,Nov-00,11367880,alexandersanchez.exemplars1,
education,14,11367880,alexandersanchez.exemplars1,
birthyear,1969,11367880,alexandersanchez.exemplars1,
birthmonth,2,11367880,alexandersanchez.exemplars1,
religionid,3,11367880,alexandersanchez.exemplars1,
gender,m,11367880,alexandersanchez.exemplars1,
relfamily,methodist,11367880,alexandersanchez.exemplars1,
state,mi,11367880,alexandersanchez.exemplars1,
reldenom,otherwesleyan,11367880,alexandersanchez.exemplars1,
religion,protestant,11367880,alexandersanchez.exemplars1,
residence,sm,11367880,alexandersanchez.exemplars1,
citizenship,us,11367880,alexandersanchez.exemplars1,
raceethnic,white,11367880,alexandersanchez.exemplars1,
birthyear,1987,11459902,alexandersanchez.exemplars1,
politicalid,2,11459902,alexandersanchez.exemplars1,
religionid,2,11459902,alexandersanchez.exemplars1,
genoccupation,25-,11459902,alexandersanchez.exemplars1,
occupation,25-2000,11459902,alexandersanchez.exemplars1,
birthmonth,7,11459902,alexandersanchez.exemplars1,
education,9,11459902,alexandersanchez.exemplars1,
relfamily,congregationalist,11459902,alexandersanchez.exemplars1,
state,ct,11459902,alexandersanchez.exemplars1,
gender,f,11459902,alexandersanchez.exemplars1,
religion,protestant,11459902,alexandersanchez.exemplars1,
residence,sm,11459902,alexandersanchez.exemplars1,
citizenship,us,11459902,alexandersanchez.exemplars1,
raceethnic,white,11459902,alexandersanchez.exemplars1,
birthyear,1998,11504042,alexandersanchez.exemplars1,
birthmonth,2,11504042,alexandersanchez.exemplars1,
politicalid,2,11504042,alexandersanchez.exemplars1,
genoccupation,21-,11504042,alexandersanchez.exemplars1,
occupation,21-1000,11504042,alexandersanchez.exemplars1,
religionid,3,11504042,alexandersanchez.exemplars1,
education,7,11504042,alexandersanchez.exemplars1,
gender,f,11504042,alexandersanchez.exemplars1,
reldenom,justchristian,11504042,alexandersanchez.exemplars1,
relfamily,nondenominational,11504042,alexandersanchez.exemplars1,
state,oh,11504042,alexandersanchez.exemplars1,
religion,protestant,11504042,alexandersanchez.exemplars1,
citizenship,us,11504042,alexandersanchez.exemplars1,
residence,us,11504042,alexandersanchez.exemplars1,
raceethnic,white,11504042,alexandersanchez.exemplars1,
birthyear,1975,11553306,alexandersanchez.exemplars1,
politicalid,2,11553306,alexandersanchez.exemplars1,
religionid,2,11553306,alexandersanchez.exemplars1,
genoccupation,2931,11553306,alexandersanchez.exemplars1,
birthmonth,8,11553306,alexandersanchez.exemplars1,
