task_number, question_number, questionnaire_name, question_name, question_response, attempt, study_name, session_id
1,0,consent,userconsentrt,38256,1,alexandersanchez.exemplars1,14044750
1,0,consent,userconsent,TRUE,1,alexandersanchez.exemplars1,14044750
2,1,realstart,commitrt,31678,1,alexandersanchez.exemplars1,14044750
2,1,realstart,commit,I will complete this study with my full attention.,1,alexandersanchez.exemplars1,14044750
4,2,pretest,sheen1,1,1,alexandersanchez.exemplars1,14044750
4,2,pretest,sheen1rt,3273,1,alexandersanchez.exemplars1,14044750
4,3,pretest,sheen_rrt,6406,1,alexandersanchez.exemplars1,14044750
4,3,pretest,sheen_r,-44,1,alexandersanchez.exemplars1,14044750
4,4,pretest,powell1rt,3799,1,alexandersanchez.exemplars1,14044750
4,4,pretest,powell1,2,1,alexandersanchez.exemplars1,14044750
4,5,pretest,epstein1rt,3173,1,alexandersanchez.exemplars1,14044750
4,5,pretest,epstein1,2,1,alexandersanchez.exemplars1,14044750
4,6,pretest,lauer1rt,1932,1,alexandersanchez.exemplars1,14044750
4,6,pretest,lauer1,2,1,alexandersanchez.exemplars1,14044750
4,7,pretest,cosby1rt,1993,1,alexandersanchez.exemplars1,14044750
4,7,pretest,cosby1,1,1,alexandersanchez.exemplars1,14044750
4,8,pretest,cosby_rrt,2257,1,alexandersanchez.exemplars1,14044750
4,8,pretest,cosby_r,-72,1,alexandersanchez.exemplars1,14044750
4,9,pretest,baldwin1rt,2113,1,alexandersanchez.exemplars1,14044750
4,9,pretest,baldwin1,2,1,alexandersanchez.exemplars1,14044750
4,10,pretest,oswald1rt,1806,1,alexandersanchez.exemplars1,14044750
4,10,pretest,oswald1,2,1,alexandersanchez.exemplars1,14044750
4,11,pretest,mcveigh1rt,1606,1,alexandersanchez.exemplars1,14044750
4,11,pretest,mcveigh1,2,1,alexandersanchez.exemplars1,14044750
4,12,pretest,jackson1rt,3235,1,alexandersanchez.exemplars1,14044750
4,12,pretest,jackson1,2,1,alexandersanchez.exemplars1,14044750
4,13,pretest,mlk1rt,1648,1,alexandersanchez.exemplars1,14044750
4,13,pretest,mlk1,1,1,alexandersanchez.exemplars1,14044750
4,14,pretest,mlk_rrt,2038,1,alexandersanchez.exemplars1,14044750
4,14,pretest,mlk_r,89,1,alexandersanchez.exemplars1,14044750
4,15,pretest,freeman1rt,2004,1,alexandersanchez.exemplars1,14044750
4,15,pretest,freeman1,1,1,alexandersanchez.exemplars1,14044750
4,16,pretest,freeman_rrt,1491,1,alexandersanchez.exemplars1,14044750
4,16,pretest,freeman_r,49,1,alexandersanchez.exemplars1,14044750
4,17,pretest,foxx1rt,1801,1,alexandersanchez.exemplars1,14044750
4,17,pretest,foxx1,1,1,alexandersanchez.exemplars1,14044750
4,18,pretest,foxx_rrt,1565,1,alexandersanchez.exemplars1,14044750
4,18,pretest,foxx_r,53,1,alexandersanchez.exemplars1,14044750
4,19,pretest,smith1rt,1697,1,alexandersanchez.exemplars1,14044750
4,19,pretest,smith1,1,1,alexandersanchez.exemplars1,14044750
4,20,pretest,smith_rrt,1689,1,alexandersanchez.exemplars1,14044750
4,20,pretest,smith_r,72,1,alexandersanchez.exemplars1,14044750
4,21,pretest,wonder1rt,1716,1,alexandersanchez.exemplars1,14044750
4,21,pretest,wonder1,1,1,alexandersanchez.exemplars1,14044750
4,22,pretest,wonder_rrt,1515,1,alexandersanchez.exemplars1,14044750
4,22,pretest,wonder_r,23,1,alexandersanchez.exemplars1,14044750
4,23,pretest,bundy1,1,1,alexandersanchez.exemplars1,14044750
4,23,pretest,bundy1rt,2469,1,alexandersanchez.exemplars1,14044750
4,24,pretest,bundy_rrt,2027,1,alexandersanchez.exemplars1,14044750
4,24,pretest,bundy_r,-100,1,alexandersanchez.exemplars1,14044750
4,25,pretest,samuel1rt,1812,1,alexandersanchez.exemplars1,14044750
4,25,pretest,samuel1,1,1,alexandersanchez.exemplars1,14044750
4,26,pretest,samuel_rrt,1323,1,alexandersanchez.exemplars1,14044750
4,26,pretest,samuel_r,62,1,alexandersanchez.exemplars1,14044750
4,27,pretest,weinstein1rt,1726,1,alexandersanchez.exemplars1,14044750
4,27,pretest,weinstein1,2,1,alexandersanchez.exemplars1,14044750
4,28,pretest,manson1,2,1,alexandersanchez.exemplars1,14044750
4,28,pretest,manson1rt,1419,1,alexandersanchez.exemplars1,14044750
4,29,pretest,ali1rt,1562,1,alexandersanchez.exemplars1,14044750
4,29,pretest,ali1,1,1,alexandersanchez.exemplars1,14044750
4,30,pretest,ali_rrt,1098,1,alexandersanchez.exemplars1,14044750
4,30,pretest,ali_r,77,1,alexandersanchez.exemplars1,14044750
4,31,pretest,bryant1rt,1791,1,alexandersanchez.exemplars1,14044750
4,31,pretest,bryant1,1,1,alexandersanchez.exemplars1,14044750
4,32,pretest,bryant_rrt,2145,1,alexandersanchez.exemplars1,14044750
4,32,pretest,bryant_r,76,1,alexandersanchez.exemplars1,14044750
4,33,pretest,denzel1rt,1750,1,alexandersanchez.exemplars1,14044750
4,33,pretest,denzel1,1,1,alexandersanchez.exemplars1,14044750
4,34,pretest,denzel_rrt,2416,1,alexandersanchez.exemplars1,14044750
4,34,pretest,denzel_r,18,1,alexandersanchez.exemplars1,14044750
4,35,pretest,gotti1rt,1388,1,alexandersanchez.exemplars1,14044750
4,35,pretest,gotti1,2,1,alexandersanchez.exemplars1,14044750
4,36,pretest,ck1rt,1244,1,alexandersanchez.exemplars1,14044750
4,36,pretest,ck1,2,1,alexandersanchez.exemplars1,14044750
4,37,pretest,shkreli1rt,1369,1,alexandersanchez.exemplars1,14044750
4,37,pretest,shkreli1,2,1,alexandersanchez.exemplars1,14044750
4,38,pretest,madoff1rt,1339,1,alexandersanchez.exemplars1,14044750
4,38,pretest,madoff1,2,1,alexandersanchez.exemplars1,14044750
4,39,pretest,nichols1rt,1338,1,alexandersanchez.exemplars1,14044750
4,39,pretest,nichols1,2,1,alexandersanchez.exemplars1,14044750
4,40,pretest,capone1rt,4452,1,alexandersanchez.exemplars1,14044750
4,40,pretest,capone1,1,1,alexandersanchez.exemplars1,14044750
4,41,pretest,capone_rrt,3771,1,alexandersanchez.exemplars1,14044750
4,41,pretest,capone_r,-77,1,alexandersanchez.exemplars1,14044750
4,42,pretest,murphy1rt,1881,1,alexandersanchez.exemplars1,14044750
4,42,pretest,murphy1,1,1,alexandersanchez.exemplars1,14044750
4,43,pretest,murphy_rrt,1220,1,alexandersanchez.exemplars1,14044750
4,43,pretest,murphy_r,67,1,alexandersanchez.exemplars1,14044750
4,44,pretest,hines1rt,2386,1,alexandersanchez.exemplars1,14044750
4,44,pretest,hines1,2,1,alexandersanchez.exemplars1,14044750
4,45,pretest,dahmer1rt,1902,1,alexandersanchez.exemplars1,14044750
4,45,pretest,dahmer1,1,1,alexandersanchez.exemplars1,14044750
4,46,pretest,dahmer_rrt,1668,1,alexandersanchez.exemplars1,14044750
4,46,pretest,dahmer_r,-96,1,alexandersanchez.exemplars1,14044750
4,47,pretest,dillinger1rt,1408,1,alexandersanchez.exemplars1,14044750
4,47,pretest,dillinger1,2,1,alexandersanchez.exemplars1,14044750
4,48,pretest,bezos1rt,2644,1,alexandersanchez.exemplars1,14044750
4,48,pretest,bezos1,1,1,alexandersanchez.exemplars1,14044750
4,49,pretest,bezos_rrt,1517,1,alexandersanchez.exemplars1,14044750
4,49,pretest,bezos_r,-29,1,alexandersanchez.exemplars1,14044750
4,50,pretest,perry1rt,1722,1,alexandersanchez.exemplars1,14044750
4,50,pretest,perry1,1,1,alexandersanchez.exemplars1,14044750
4,51,pretest,perry_rrt,1051,1,alexandersanchez.exemplars1,14044750
4,51,pretest,perry_r,26,1,alexandersanchez.exemplars1,14044750
4,52,pretest,harvey1rt,1401,1,alexandersanchez.exemplars1,14044750
4,52,pretest,harvey1,1,1,alexandersanchez.exemplars1,14044750
4,53,pretest,harvey_rrt,1084,1,alexandersanchez.exemplars1,14044750
4,53,pretest,harvey_r,33,1,alexandersanchez.exemplars1,14044750
4,54,pretest,mj1rt,1609,1,alexandersanchez.exemplars1,14044750
4,54,pretest,mj1,1,1,alexandersanchez.exemplars1,14044750
4,55,pretest,mj_rrt,1221,1,alexandersanchez.exemplars1,14044750
4,55,pretest,mj_r,75,1,alexandersanchez.exemplars1,14044750
4,56,pretest,rock1rt,1340,1,alexandersanchez.exemplars1,14044750
4,56,pretest,rock1,1,1,alexandersanchez.exemplars1,14044750
4,57,pretest,rock_rrt,996,1,alexandersanchez.exemplars1,14044750
4,57,pretest,rock_r,37,1,alexandersanchez.exemplars1,14044750
4,58,pretest,kaczynski1,2,1,alexandersanchez.exemplars1,14044750
4,58,pretest,kaczynski1rt,1475,1,alexandersanchez.exemplars1,14044750
4,59,pretest,lewis1rt,2491,1,alexandersanchez.exemplars1,14044750
4,59,pretest,lewis1,2,1,alexandersanchez.exemplars1,14044750
4,60,pretest,stern1rt,2529,1,alexandersanchez.exemplars1,14044750
4,60,pretest,stern1,2,1,alexandersanchez.exemplars1,14044750
4,61,pretest,woods1rt,1748,1,alexandersanchez.exemplars1,14044750
4,61,pretest,woods1,1,1,alexandersanchez.exemplars1,14044750
4,62,pretest,woods_rrt,1018,1,alexandersanchez.exemplars1,14044750
4,62,pretest,woods_r,9,1,alexandersanchez.exemplars1,14044750
7,63,exp,thermoWhitert,3329,1,alexandersanchez.exemplars1,14044750
7,63,exp,thermoWhite,-44,1,alexandersanchez.exemplars1,14044750
7,64,exp,thermoBlackrt,2559,1,alexandersanchez.exemplars1,14044750
7,64,exp,thermoBlack,64,1,alexandersanchez.exemplars1,14044750
12,1000,race_iat,block3Cond,"White Names/Pleasant Words,Black Names/Unpleasant Words",1,alexandersanchez.exemplars1,14044750
12,1001,race_iat,feedback,Your responses suggested a slight automatic association of Pleasant Words with White Names and Unpleasant Words with Black Names.,1,alexandersanchez.exemplars1,14044750
12,1002,race_iat,d,-0.27,1,alexandersanchez.exemplars1,14044750
1,0,consent,userconsent,TRUE,1,alexandersanchez.exemplars1,14044754
1,0,consent,userconsentrt,51986,1,alexandersanchez.exemplars1,14044754
2,1,realstart,commitrt,42240,1,alexandersanchez.exemplars1,14044754
2,1,realstart,commit,I will complete this study with my full attention.,1,alexandersanchez.exemplars1,14044754
4,2,pretest,harvey1rt,5981,1,alexandersanchez.exemplars1,14044754
4,2,pretest,harvey1,1,1,alexandersanchez.exemplars1,14044754
4,3,pretest,harvey_rrt,30126,1,alexandersanchez.exemplars1,14044754
4,3,pretest,harvey_r,44,1,alexandersanchez.exemplars1,14044754
4,4,pretest,smith1rt,4829,1,alexandersanchez.exemplars1,14044754
4,4,pretest,smith1,1,1,alexandersanchez.exemplars1,14044754
4,5,pretest,smith_rrt,7242,1,alexandersanchez.exemplars1,14044754
4,5,pretest,smith_r,45,1,alexandersanchez.exemplars1,14044754
4,6,pretest,mj1rt,4751,1,alexandersanchez.exemplars1,14044754
4,6,pretest,mj1,1,1,alexandersanchez.exemplars1,14044754
4,7,pretest,mj_rrt,7440,1,alexandersanchez.exemplars1,14044754
4,7,pretest,mj_r,51,1,alexandersanchez.exemplars1,14044754
4,8,pretest,mcveigh1rt,8055,1,alexandersanchez.exemplars1,14044754
4,8,pretest,mcveigh1,2,1,alexandersanchez.exemplars1,14044754
4,9,pretest,denzel1rt,5043,1,alexandersanchez.exemplars1,14044754
4,9,pretest,denzel1,1,1,alexandersanchez.exemplars1,14044754
4,10,pretest,denzel_rrt,9053,1,alexandersanchez.exemplars1,14044754
4,10,pretest,denzel_r,71,1,alexandersanchez.exemplars1,14044754
4,11,pretest,dillinger1rt,5219,1,alexandersanchez.exemplars1,14044754
4,11,pretest,dillinger1,2,1,alexandersanchez.exemplars1,14044754
4,12,pretest,ck1rt,8480,1,alexandersanchez.exemplars1,14044754
4,12,pretest,ck1,2,1,alexandersanchez.exemplars1,14044754
4,13,pretest,dahmer1rt,10744,1,alexandersanchez.exemplars1,14044754
4,13,pretest,dahmer1,2,1,alexandersanchez.exemplars1,14044754
4,14,pretest,bezos1rt,4802,1,alexandersanchez.exemplars1,14044754
4,14,pretest,bezos1,1,1,alexandersanchez.exemplars1,14044754
4,15,pretest,bezos_rrt,5259,1,alexandersanchez.exemplars1,14044754
4,15,pretest,bezos_r,41,1,alexandersanchez.exemplars1,14044754
4,16,pretest,baldwin1rt,6751,1,alexandersanchez.exemplars1,14044754
4,16,pretest,baldwin1,1,1,alexandersanchez.exemplars1,14044754
4,17,pretest,baldwin_rrt,4693,1,alexandersanchez.exemplars1,14044754
4,17,pretest,baldwin_r,50,1,alexandersanchez.exemplars1,14044754
4,18,pretest,oswald1rt,7915,1,alexandersanchez.exemplars1,14044754
4,18,pretest,oswald1,2,1,alexandersanchez.exemplars1,14044754
4,19,pretest,woods1rt,4841,1,alexandersanchez.exemplars1,14044754
4,19,pretest,woods1,1,1,alexandersanchez.exemplars1,14044754
4,20,pretest,woods_rrt,4278,1,alexandersanchez.exemplars1,14044754
4,20,pretest,woods_r,47,1,alexandersanchez.exemplars1,14044754
4,21,pretest,gotti1rt,8037,1,alexandersanchez.exemplars1,14044754
4,21,pretest,gotti1,2,1,alexandersanchez.exemplars1,14044754
4,22,pretest,weinstein1,2,1,alexandersanchez.exemplars1,14044754
4,22,pretest,weinstein1rt,6477,1,alexandersanchez.exemplars1,14044754
4,23,pretest,lauer1,1,1,alexandersanchez.exemplars1,14044754
4,23,pretest,lauer1rt,31084,1,alexandersanchez.exemplars1,14044754
4,24,pretest,lauer_rrt,4867,1,alexandersanchez.exemplars1,14044754
4,24,pretest,lauer_r,4,1,alexandersanchez.exemplars1,14044754
4,25,pretest,lewis1,1,1,alexandersanchez.exemplars1,14044754
4,25,pretest,lewis1rt,4726,1,alexandersanchez.exemplars1,14044754
4,26,pretest,lewis_rrt,8154,1,alexandersanchez.exemplars1,14044754
4,26,pretest,lewis_r,71,1,alexandersanchez.exemplars1,14044754
4,27,pretest,hines1rt,8779,1,alexandersanchez.exemplars1,14044754
4,27,pretest,hines1,2,1,alexandersanchez.exemplars1,14044754
4,28,pretest,foxx1rt,3172,1,alexandersanchez.exemplars1,14044754
4,28,pretest,foxx1,1,1,alexandersanchez.exemplars1,14044754
4,29,pretest,foxx_rrt,3852,1,alexandersanchez.exemplars1,14044754
4,29,pretest,foxx_r,59,1,alexandersanchez.exemplars1,14044754
4,30,pretest,freeman1rt,3957,1,alexandersanchez.exemplars1,14044754
4,30,pretest,freeman1,1,1,alexandersanchez.exemplars1,14044754
4,31,pretest,freeman_rrt,3389,1,alexandersanchez.exemplars1,14044754
4,31,pretest,freeman_r,60,1,alexandersanchez.exemplars1,14044754
4,32,pretest,stern1rt,9134,1,alexandersanchez.exemplars1,14044754
4,32,pretest,stern1,2,1,alexandersanchez.exemplars1,14044754
4,33,pretest,perry1rt,3875,1,alexandersanchez.exemplars1,14044754
4,33,pretest,perry1,1,1,alexandersanchez.exemplars1,14044754
4,34,pretest,perry_rrt,3947,1,alexandersanchez.exemplars1,14044754
4,34,pretest,perry_r,66,1,alexandersanchez.exemplars1,14044754
4,35,pretest,sheen1rt,4249,1,alexandersanchez.exemplars1,14044754
4,35,pretest,sheen1,1,1,alexandersanchez.exemplars1,14044754
