session_id, user_id, study_name, session_date, session_status, creation_date, last_update_date,  previous_session_id, previous_session_schema, referrer,  study_url, user_agent
14044750,11636814,alexandersanchez.exemplars1,3/12/21 4:22,null,3/12/21 4:22,NULL ,0,null,https://implicit.harvard.edu/implicit/,/user/alexandersanchez/exemplars1/alexandersanchez.exemplars1.expt.xml,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36"
14044754,11641106,alexandersanchez.exemplars1,3/12/21 4:24,null,3/12/21 4:24,NULL ,14044672,r,https://implicit.harvard.edu/implicit/Study?tid=-1,/user/alexandersanchez/exemplars1/alexandersanchez.exemplars1.expt.xml,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.72 Safari/537.36 Edg/89.0.774.45"
14044763,11641123,alexandersanchez.exemplars1,3/12/21 4:28,null,3/12/21 4:28,NULL ,14044717,r,https://implicit.harvard.edu/implicit/Study?tid=-1,/user/alexandersanchez/exemplars1/alexandersanchez.exemplars1.expt.xml,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
14044766,750927,alexandersanchez.exemplars1,3/12/21 4:31,null,3/12/21 4:31,NULL ,2655756552,s,https://implicit.harvard.edu/implicit/RegistrationComplete,/user/alexandersanchez/exemplars1/alexandersanchez.exemplars1.expt.xml,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"
14044771,11641133,alexandersanchez.exemplars1,3/12/21 4:33,null,3/12/21 4:33,NULL ,14044759,r,https://implicit.harvard.edu/implicit/RegistrationComplete,/user/alexandersanchez/exemplars1/alexandersanchez.exemplars1.expt.xml,"Mozilla/5.0 (X11; CrOS x86_64 13729.41.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.76 Safari/537.36"
14044773,11641136,alexandersanchez.exemplars1,3/12/21 4:34,null,3/12/21 4:34,NULL ,2655756595,s,https://implicit.harvard.edu/implicit/RegistrationComplete,/user/alexandersanchez/exemplars1/alexandersanchez.exemplars1.expt.xml,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36"
14044781,11641140,alexandersanchez.exemplars1,3/12/21 4:37,null,3/12/21 4:37,NULL ,2655756636,s,https://nu.blackboard.com/,/user/alexandersanchez/exemplars1/alexandersanchez.exemplars1.expt.xml,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"
14044782,11641142,alexandersanchez.exemplars1,3/12/21 4:38,null,3/12/21 4:38,NULL ,2655756684,s,https://implicit.harvard.edu/implicit/RegistrationComplete,/user/alexandersanchez/exemplars1/alexandersanchez.exemplars1.expt.xml,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36"
14044783,11641139,alexandersanchez.exemplars1,3/12/21 4:38,null,3/12/21 4:38,NULL ,2655756625,s,https://implicit.harvard.edu/implicit/RegistrationComplete,/user/alexandersanchez/exemplars1/alexandersanchez.exemplars1.expt.xml,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"
14044792,11622453,alexandersanchez.exemplars1,3/12/21 4:40,null,3/12/21 4:40,NULL ,0,null,https://app.perusall.com/,/user/alexandersanchez/exemplars1/alexandersanchez.exemplars1.expt.xml,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36"
